,city,max_temp,humidity,wind_speed,lat,lng,country,date
453,Sadova,93.96,21,6.89,43.9,23.95,RO,1628685218
454,Kismayo,80.2,67,18.14,-0.3582,42.5454,SO,1628685218
455,Divnogorsk,68.49,82,0.56,55.9594,92.3619,RU,1628685220
456,Atambua,73.26,87,4.9,-9.1061,124.8925,ID,1628685220
457,Karpathos,93.16,70,29.93,35.507,27.2132,GR,1628685220
458,Nhulunbuy,75.81,88,8.05,-12.2333,136.7667,AU,1628685221
459,Turukhansk,57.92,55,12.93,65.8167,87.9833,RU,1628685221
460,Nishihara,81.68,89,13.8,26.1842,127.7558,JP,1628685222
461,Kloulklubed,77.5,72,10.38,7.0419,134.2556,PW,1628685222
462,Esperance,56.88,72,10.0,-33.8667,121.9,AU,1628685222
463,Forsytheganj,81.86,36,7.43,52.6333,29.7333,BY,1628685223
464,Muros,81.57,65,12.06,42.7762,-9.0603,ES,1628685017
465,Bilibino,43.43,71,4.29,68.0546,166.4372,RU,1628685224
466,Tupik,58.14,87,2.89,54.4253,119.9327,RU,1628685224
467,Kupang,79.02,80,14.25,-10.1667,123.5833,ID,1628685225
468,Kohtla-Järve,70.41,55,7.05,59.3986,27.2731,EE,1628685225
469,Juradó,76.05,89,2.24,7.1053,-77.7641,CO,1628685225
470,Caxias,77.32,60,1.99,38.7031,-9.2767,PT,1628685226
471,Shchigry,82.22,41,13.85,51.8755,36.9043,RU,1628685226
472,Montoro,90.18,22,5.82,38.0241,-4.3834,ES,1628685227
473,Porto-Novo,80.42,68,13.24,6.4965,2.6036,BJ,1628684950
474,Pfullingen,79.83,55,4.54,48.4646,9.228,DE,1628684943
475,Mormugao,80.76,82,11.01,15.4,73.8,IN,1628685075
476,Solnechnyy,56.52,77,4.45,50.7214,136.6319,RU,1628685229
477,Campo Verde,58.21,54,8.43,-20.4167,-54.0667,BR,1628685229
478,San Javier,85.03,62,5.99,37.8063,-0.8374,ES,1628685229
479,Esso,48.79,88,3.8,55.9333,158.7,RU,1628685230
480,Waverly,70.56,89,4.61,42.7392,-84.6208,US,1628685230
481,Cayenne,78.1,86,1.01,4.9333,-52.3333,GF,1628685230
482,Ambanja,84.13,61,7.78,-13.6833,48.45,MG,1628685231
483,Betanzos,73.76,74,3.0,43.2804,-8.2147,ES,1628685231
484,Gorin,57.67,81,2.01,51.1983,136.6669,RU,1628685231
485,Annau,99.9,10,6.91,37.8876,58.516,TM,1628685035
486,Mayumba,78.28,74,9.04,-3.432,10.6554,GA,1628685232
487,Yarmouth,75.07,93,8.99,41.7057,-70.2286,US,1628685232
488,Kavaratti,81.68,80,20.6,10.5669,72.642,IN,1628685232
489,Acapulco de Juárez,76.82,83,5.75,16.8634,-99.8901,MX,1628685233
490,Turangi,36.0,97,3.6,-39.0,175.9333,NZ,1628685233
491,Peleduy,68.43,68,3.69,59.6289,112.7406,RU,1628685070
492,Brody,77.45,51,12.95,50.0879,25.1503,UA,1628685234
493,Havøysund,62.83,91,14.12,70.9963,24.6622,NO,1628685234
494,Khuchni,93.29,23,8.81,41.9499,47.9485,RU,1628685234
495,Kununurra,73.38,53,0.0,-15.7667,128.7333,AU,1628685235
496,Yarovoy,69.82,68,10.42,52.9273,78.58,RU,1628685235
497,Springbok,59.65,50,19.55,-29.6643,17.8865,ZA,1628685236
498,Beringovskiy,47.32,87,5.12,63.05,179.3167,RU,1628685236
499,Borūjerd,95.9,8,18.57,33.8973,48.7516,IR,1628685237
500,NEDJO,66.83,91,2.75,9.5046,35.5019,ET,1628685237
501,Algeciras,82.09,69,6.91,36.1333,-5.4505,ES,1628685237
502,Khomutovka,83.25,39,11.32,51.9207,34.5619,RU,1628685238
503,Bo Phloi,85.08,69,4.34,14.3236,99.5161,TH,1628685238
504,Zig,77.38,86,7.0,40.127,-92.7663,US,1628685238
505,Kalmunai,83.44,83,4.88,7.4167,81.8167,LK,1628685239
506,Maniitsoq,44.02,86,11.59,65.4167,-52.9,GL,1628685239
507,Sojat,92.01,46,10.18,25.9167,73.6667,IN,1628685239
508,Villacarrillo,99.37,14,7.83,38.1156,-3.0848,ES,1628685240
509,Rosarito,69.13,83,7.36,32.3333,-117.0333,MX,1628685240
510,Eyl,87.75,60,26.87,7.9803,49.8164,SO,1628685241
511,Hudson Bay,49.62,65,12.26,52.85,-102.3842,CA,1628685242
512,Mwene-Ditu,92.66,14,3.42,-7.0,23.45,CD,1628685242
513,Buchanan,76.96,74,11.21,5.8808,-10.0467,LR,1628685242
514,Safaga,100.35,47,10.76,26.7292,33.9365,EG,1628685242
515,Ouégoa,67.14,71,17.69,-20.35,164.4333,NC,1628685243
516,Padang,77.05,88,3.51,-0.9492,100.3543,ID,1628685244
517,Kępno,75.45,41,13.33,51.2784,17.9891,PL,1628685245
518,Shihezi,91.45,22,10.07,44.3,86.0333,CN,1628685072
519,Omoa,75.36,86,1.72,15.7667,-88.0333,HN,1628685246
520,Minsk,71.35,51,4.34,53.9,27.5667,BY,1628685061
521,Boyolangu,73.69,93,5.06,-8.1181,111.8935,ID,1628685247
522,La Palma,69.17,82,1.01,33.8464,-118.0467,US,1628685247
523,Ranong,75.13,90,11.07,9.9658,98.6348,TH,1628685247
524,Sur,91.78,61,6.08,22.5667,59.5289,OM,1628685247
525,Bathsheba,83.01,78,14.97,13.2167,-59.5167,BB,1628685248
526,Gatton,57.45,91,1.54,-27.55,152.2833,AU,1628685248
527,Vryburg,74.19,23,19.46,-26.9566,24.7284,ZA,1628685248
528,Keti Bandar,82.78,73,18.88,24.1447,67.4497,PK,1628685248
529,Paidha,73.6,72,1.39,2.4167,30.9855,UG,1628685249
